"cliente_sk","nome_cliente","cognome_cliente","citta","regione","data_ultimo_ordine","data_primo_ordine","numero_ordini","fatturato_totale","scontrino_medio","importo_massimo_ordine","totale_prodotti_acquistati","num_prodotti_distinti","num_categorie_distinte"
37,"Lolita","Vergassola","Corazzano","Basilicata","2025-03-02","2024-02-10","8","19360.92","968.0460000000000000","1728.09","25","16","8"
38,"Vittorio","Babati","Cavatore","Molise","2024-08-25","2024-01-08","5","11323.35","943.6125000000000000","1557.78","14","8","7"
39,"Tiziana","Parini","Vailate","Molise","2025-07-20","2024-07-04","4","11443.26","1271.4733333333333333","3301.01","13","9","6"
40,"Galasso","Aporti","Valcava","Sicilia","2025-11-12","2024-01-02","7","16875.08","1205.3628571428571429","2712.23","17","12","5"
41,"Corrado","Asprucci","Colloredo Di Prato","Veneto","2025-08-28","2024-11-21","6","7140.84","649.1672727272727273","1220.68","14","10","5"
42,"Fortunata","Paganini","Pescocostanzo","Piemonte","2025-08-17","2024-03-10","6","13097.78","1007.5215384615384615","2651.20","17","10","7"
43,"Rosario","Roccabonella","San Leone","Campania","2025-09-16","2024-01-20","7","14340.40","843.5529411764705882","2213.14","22","12","7"
44,"Fiorenzo","Squarcione","Sepicciano","Emilia-Romagna","2025-06-06","2024-01-21","4","12647.12","1580.8900000000000000","4453.26","12","8","5"
45,"Severino","Vitturi","Buso Sarzano","Sardegna","2024-12-02","2023-12-03","3","5370.69","1342.6725000000000000","2327.36","5","4","4"
46,"Virgilio","Muratori","Frigento","Calabria","2025-03-28","2024-12-02","2","6374.83","1062.4716666666666667","2192.08","8","6","4"
47,"Mariana","Fantini","Bertipaglia","Umbria","2025-07-07","2024-04-18","4","6072.56","867.5085714285714286","1315.30","7","6","5"
48,"Leone","Angeli","Bisaccia","Basilicata","2024-12-10","2024-03-07","5","11375.67","758.3780000000000000","1461.39","17","14","8"
49,"Massimiliano","Fallaci","Mezzane","Lombardia","2025-07-29","2024-01-26","9","19079.72","953.9860000000000000","2651.20","24","18","8"
50,"Leopoldo","Bresciani","Bavari","Campania","2024-06-07","2023-12-06","2","1613.65","806.8250000000000000","1249.54","2","2","2"
51,"Atenulf","Calbo","Peri","Basilicata","2025-08-11","2023-12-17","3","4679.66","668.5228571428571429","1353.92","9","7","4"
52,"Carolina","Segni","San Bortolo","Marche","2025-10-22","2024-03-01","8","15371.83","1280.9858333333333333","3276.57","17","10","5"
53,"Ramona","Coardi","Fierozzo","Sardegna","2025-09-25","2023-11-21","10","15259.91","635.8295833333333333","1303.57","29","18","8"
54,"Silvio","Romiti","Matrice","Lombardia","2025-05-09","2023-11-30","6","10776.45","898.0375000000000000","2345.74","19","12","7"
55,"Mariana","Dulbecco","Visna'","Puglia","2025-09-09","2024-01-04","8","20743.82","901.9052173913043478","2226.48","27","18","8"
56,"Marcello","Polizzi","Cedrate","Emilia-Romagna","2025-08-30","2024-02-12","5","11706.05","1170.6050000000000000","4061.76","13","9","4"
57,"Achille","Venier","Racconigi","Campania","2025-08-05","2024-06-27","4","5221.57","745.9385714285714286","2009.06","9","6","5"
59,"Danilo","Cossiga","Bonito","Friuli-Venezia Giulia","2025-11-13","2024-11-22","4","10066.16","1006.6160000000000000","2566.68","14","9","7"
60,"Torquato","Cianciolo","Albano Di Lucania","Veneto","2025-08-28","2023-11-26","6","5050.63","841.7716666666666667","1325.60","7","5","4"
61,"Mariano","Villarosa","Olmo","Emilia-Romagna","2025-10-10","2024-01-13","12","20298.62","780.7161538461538462","1202.09","31","20","8"
62,"Paola","Parri","Varenna","Friuli-Venezia Giulia","2025-08-23","2024-03-31","5","7576.34","841.8155555555555556","1898.04","12","8","5"
63,"Ermanno","Borromeo","Palagianello","Valle d'Aosta","2025-10-25","2024-02-11","3","4748.07","1187.0175000000000000","2569.86","6","3","3"
64,"Giulietta","Luna","Sa Pischera","Lombardia","2025-10-08","2023-12-19","6","5705.71","815.1014285714285714","2345.74","8","6","4"
65,"Nico","Ricciardi","San Bartolomeo Val Cavargna","Abruzzo","2025-10-30","2024-07-17","6","10407.11","743.3650000000000000","1719.28","15","13","7"
66,"Etta","Grossi","Viazzano","Liguria","2025-09-24","2024-10-17","4","8191.24","910.1377777777777778","2518.64","11","9","7"
67,"Gaetano","Pausini","Chiaia","Sicilia","2025-10-08","2024-01-14","4","7681.69","853.5211111111111111","2316.50","13","7","6"
68,"Melania","Bembo","La Rotta","Piemonte","2025-10-15","2024-08-06","5","14570.72","1120.8246153846153846","2569.86","16","11","6"
69,"Ranieri","Balotelli","Licenza","Trentino-Alto Adige","2025-07-29","2024-05-27","3","8141.14","904.5711111111111111","1819.04","11","8","4"
70,"Guarino","Dallara","Resiutta","Basilicata","2025-09-16","2024-03-17","7","21646.79","1202.5994444444444444","2651.38","23","14","7"
71,"Monica","Peruzzi","Moncerrato","Veneto","2025-03-20","2024-04-09","4","9617.79","1068.6433333333333333","2707.84","11","8","6"
72,"Annamaria","Mondadori","Correggioverde","Basilicata","2024-07-21","2023-12-06","4","7791.82","865.7577777777777778","3474.75","13","9","6"
73,"Daniele","Cagnotto","Bernezzo","Friuli-Venezia Giulia","2024-11-14","2024-11-12","2","2272.55","568.1375000000000000","1425.18","4","4","3"
74,"Hugo","Balla","Minucciano","Sardegna","2025-08-27","2025-02-10","2","1336.70","445.5666666666666667","876.03","3","3","3"
75,"Priscilla","Santorio","Monteleone Sabino","Basilicata","2025-10-17","2024-02-11","4","8519.73","946.6366666666666667","3013.59","14","9","7"
76,"Giampiero","Giannone","Miradolo Terme","Toscana","2025-08-24","2024-08-14","2","3011.94","1505.9700000000000000","2518.64","3","2","2"
77,"Monica","Giolitti","Pian Di Casale","Calabria","2025-09-09","2024-02-28","4","6249.86","892.8371428571428571","1425.18","9","7","4"
78,"Ubaldo","Cantimori","Dattilo","Abruzzo","2025-06-21","2024-03-15","2","5448.76","1362.1900000000000000","2850.36","5","4","3"
79,"Corrado","Storladi","Caravaggio","Friuli-Venezia Giulia","2025-10-19","2024-04-24","10","14890.50","827.2500000000000000","1425.18","20","15","8"
80,"Virgilio","Majorana","Parco Scizzo","Sicilia","2025-02-17","2025-02-17","1","2201.56","733.8533333333333333","1156.44","3","3","3"
81,"Cesare","Mazzeo","Suni","Marche","2025-10-10","2024-01-05","8","12227.91","873.4221428571428571","1540.01","17","13","7"
82,"Niccolò","Cesarotti","Vergnacco","Basilicata","2025-01-05","2024-02-14","4","6340.60","905.8000000000000000","1425.18","7","7","5"
83,"Aurora","Tomaselli","Maiolo","Sicilia","2024-09-09","2024-03-22","4","6463.74","923.3914285714285714","1425.18","7","7","5"
84,"Marisa","Volta","Sala Bolognese","Lazio","2025-08-10","2024-04-16","3","7474.27","1067.7528571428571429","2286.82","9","6","5"
85,"Bartolomeo","Civaschi","Sa Pischera","Lazio","2025-05-14","2024-08-17","3","10601.15","963.7409090909090909","1567.64","13","9","7"
86,"Valentina","Bernardi","Soriano Calabro","Piemonte","2025-10-05","2024-01-03","6","8994.19","817.6536363636363636","1671.34","12","11","6"
87,"Damiano","Murri","Pietra Ligure","Puglia","2025-06-22","2024-02-02","5","9835.48","983.5480000000000000","2236.01","13","9","6"
88,"Giacomo","Cibin","Torre De' Ratti","Toscana","2025-09-22","2024-02-17","6","14854.88","1350.4436363636363636","3854.79","17","10","8"
89,"Gemma","Nolcini","Vaiano Cremasco","Molise","2025-09-20","2024-01-26","4","6698.83","837.3537500000000000","1303.57","8","8","5"
90,"Pellegrino","Argan","Battipaglia","Sicilia","2025-02-07","2023-12-05","3","3113.54","778.3850000000000000","1143.41","4","4","3"
91,"Susanna","Mastroianni","Villa Scontrone","Sardegna","2025-10-15","2024-03-11","8","20768.36","902.9721739130434783","1908.61","30","16","7"
92,"Girolamo","Fibonacci","Bernalda","Campania","2025-04-15","2024-03-07","4","12361.79","1373.5322222222222222","3148.51","13","9","6"
93,"Rembrandt","Marcacci","Piedimonte D'Alife","Abruzzo","2025-11-09","2024-02-25","4","6559.22","1093.2033333333333333","1844.28","7","5","2"
94,"Stefani","Bulzoni","Pitigliano","Umbria","2025-09-16","2024-06-20","3","8718.50","871.8500000000000000","1410.20","10","8","6"
95,"Augusto","Salieri","Tricase","Lazio","2024-12-09","2024-01-24","3","9116.66","1139.5825000000000000","3976.80","10","7","4"
96,"Osvaldo","Pizziol","San Vito Chietino","Campania","2025-09-04","2024-09-04","5","6691.16","669.1160000000000000","1303.57","11","8","5"
97,"Elmo","Nibali","Mongiuffi","Marche","2025-02-10","2023-11-18","2","3368.88","673.7760000000000000","1163.68","5","5","4"
98,"Milo","Mascheroni","Tovena","Campania","2025-11-13","2023-12-13","8","8907.27","556.7043750000000000","1172.87","20","12","7"
99,"Dolores","Chechi","Marano","Toscana","2025-07-05","2023-12-10","6","16281.51","1356.7925000000000000","4453.26","17","9","7"
100,"Marcella","Salandra","Agordo","Veneto","2025-07-09","2024-02-15","6","8572.58","659.4292307692307692","1143.41","16","11","8"
101,"Nina","Cicilia","Banzena","Puglia","2025-11-15","2024-05-12","5","3050.47","435.7814285714285714","909.52","8","7","5"
102,"Ubaldo","Comeriato","Rignano Flaminio","Piemonte","2025-11-10","2024-03-27","7","9248.41","770.7008333333333333","1325.60","14","10","7"
103,"Biagio","Panatta","Ospedalicchio Di Bastia Umbra","Basilicata","2024-09-12","2023-12-19","7","10800.79","900.0658333333333333","2728.56","16","12","8"
104,"Bernardo","Antonini","Squille","Basilicata","2025-10-23","2024-04-21","3","3579.14","715.8280000000000000","1126.76","6","5","4"
105,"Piero","Saragat","Vandoies","Piemonte","2025-08-29","2024-01-30","10","16262.62","903.4788888888888889","2099.01","22","11","7"
106,"Mauro","Giunti","Vallelunga","Sicilia","2025-05-01","2023-12-13","3","6640.98","948.7114285714285714","1484.42","8","7","5"
107,"Giosuè","Antelami","California","Trentino-Alto Adige","2025-01-28","2024-05-12","6","10230.65","786.9730769230769231","2327.36","14","12","8"
108,"Giulietta","Scarpa","Azzinano","Calabria","2025-10-04","2025-03-11","4","7550.41","1078.6300000000000000","2345.74","9","7","5"
109,"Uberto","Pezzali","Gambatesa","Emilia-Romagna","2024-09-01","2024-01-03","2","5455.45","1091.0900000000000000","1425.18","5","4","4"
110,"Orlando","Morlacchi","Misano Di Gera D'Adda","Calabria","2025-11-11","2024-04-22","7","9590.87","871.8972727272727273","2850.36","14","11","6"
111,"Claudio","Bottaro","Chiusa","Umbria","2025-10-11","2024-02-05","5","8066.84","1008.3550000000000000","2327.36","9","7","5"
112,"Morena","Bettoni","Sega Dei Lessini","Basilicata","2025-01-12","2023-12-01","3","6975.28","996.4685714285714286","1853.20","9","6","5"
113,"Mirko","Orengo","Civitanova Marche Alta","Trentino-Alto Adige","2025-09-11","2024-05-17","5","9588.84","799.0700000000000000","2728.56","15","10","7"
114,"Gustavo","Greco","Budoia","Liguria","2025-03-06","2023-12-08","3","5839.82","834.2600000000000000","1484.42","8","7","5"
115,"Durante","Borgia","Settimo San Pietro","Lazio","2025-10-26","2024-01-01","8","13735.65","807.9794117647058824","2651.20","20","16","8"
116,"Dario","Filzi","San Cipriano","Basilicata","2025-02-21","2023-11-27","7","11345.86","872.7584615384615385","2630.60","16","11","6"
117,"Letizia","Soderini","Avio","Marche","2025-04-25","2024-07-05","4","9393.08","939.3080000000000000","1898.04","12","10","6"
118,"Stella","Bertoli","Valle San Bartolomeo","Molise","2025-10-23","2024-01-24","4","5556.06","1111.2120000000000000","2184.38","8","5","5"
119,"Diana","Ubaldi","Osio Sopra","Friuli-Venezia Giulia","2025-10-02","2024-08-26","4","8555.68","1069.4600000000000000","2518.64","9","7","5"
120,"Eva","Iannuzzi","Lu Lioni","Friuli-Venezia Giulia","2025-03-22","2024-10-27","4","10694.55","822.6576923076923077","2200.68","15","13","5"
121,"Ermenegildo","Rosselli","Acquappesa","Emilia-Romagna","2025-06-02","2024-01-28","9","18533.03","842.4104545454545455","3976.80","25","19","7"
122,"Lucio","Goldstein","Gavignano Sabino","Piemonte","2025-10-09","2024-02-05","8","8839.15","736.5958333333333333","1353.92","12","11","6"
123,"Licia","Mazzeo","Macerata Feltria","Sicilia","2025-05-02","2023-11-18","5","5740.10","574.0100000000000000","1158.25","10","8","6"
124,"Gioacchino","Gabrieli","Villa Bartolomea","Molise","2025-05-18","2024-05-24","2","2960.97","1480.4850000000000000","2850.36","3","2","2"
125,"Giustino","Ostinelli","San Cataldo","Valle d'Aosta","2025-05-21","2024-01-16","2","4782.14","956.4280000000000000","1303.57","5","5","4"
126,"Amalia","Lippomano","Castro Dei Volsci","Piemonte","2025-09-13","2024-03-24","2","3572.92","714.5840000000000000","1143.41","5","5","4"
127,"Angelo","Ciani","Pennadomo","Molise","2025-10-23","2024-08-26","7","6268.82","783.6025000000000000","1484.42","10","6","5"
128,"Tonino","Tommaseo","Telve Di Valsugana","Marche","2025-06-02","2024-03-05","8","12867.31","1072.2758333333333333","2651.38","15","12","5"
129,"Giustino","Gentilini","Pontevico","Toscana","2025-07-04","2023-12-27","8","10905.85","908.8208333333333333","1671.34","13","11","6"
130,"Enzo","Pontecorvo","Recco","Marche","2024-09-13","2023-12-06","7","14916.08","877.4164705882352941","1425.18","18","14","7"
131,"Romeo","Tuzzolino","Pecco","Calabria","2025-10-13","2023-12-29","11","15733.72","925.5129411764705882","1671.34","22","12","6"
132,"Maurilio","Zaguri","Vergnacco","Liguria","2025-11-04","2023-12-06","6","9767.74","976.7740000000000000","3258.72","13","8","5"
133,"Rembrandt","Guariento","Le Forna","Piemonte","2025-10-25","2024-04-11","8","11375.37","758.3580000000000000","1410.20","19","15","8"
134,"Virgilio","Gelli","Nomaglio","Valle d'Aosta","2025-04-07","2024-03-25","9","17998.09","1058.7111764705882353","1535.42","19","14","6"
135,"Galasso","Luna","Pianella","Campania","2025-08-14","2024-02-17","7","10094.85","841.2375000000000000","2630.60","13","11","6"
136,"Amleto","Petrucelli","Refrontolo","Toscana","2025-11-03","2023-11-22","7","18482.27","880.1080952380952381","1997.72","22","16","6"
137,"Veronica","Chigi","Basovizza","Veneto","2025-04-23","2024-02-10","8","16835.70","841.7850000000000000","2316.50","24","16","8"
138,"Maria","Ferragni","Pozzo Di Gotto","Piemonte","2025-10-20","2024-06-03","3","4776.16","796.0266666666666667","1325.60","6","6","4"
139,"Gionata","Alboni","Monteponi","Abruzzo","2025-10-15","2024-04-12","9","14681.81","815.6561111111111111","2850.36","23","17","7"
140,"Rosario","Martinelli","Monte Vidon Corrado","Umbria","2025-11-12","2024-09-22","5","6149.65","614.9650000000000000","2607.14","13","9","6"
141,"Ludovica","Paltrinieri","Gossolengo","Liguria","2025-08-20","2025-01-12","3","3174.85","793.7125000000000000","1183.77","5","4","3"
142,"Toni","Finzi","Tocco Da Casauria","Friuli-Venezia Giulia","2024-04-03","2023-11-29","4","6580.83","822.6037500000000000","2607.14","10","6","4"
143,"Rolando","Zarlino","Monasterolo Casotto","Basilicata","2025-07-30","2024-05-02","4","1752.52","438.1300000000000000","989.13","4","4","3"
144,"Alessandra","Bignami","Inverno","Campania","2025-08-28","2024-02-16","9","22866.59","1203.5047368421052632","3339.72","27","14","7"
145,"Sonia","Natta","Revere","Veneto","2025-05-11","2024-06-22","3","11516.45","1046.9500000000000000","2507.01","13","10","7"
146,"Mattia","Costanzi","Tarquinia","Campania","2025-08-03","2024-09-10","5","8233.38","748.4890909090909091","1425.18","12","10","6"
147,"Riccardo","Bellò","Valeggio","Veneto","2025-10-01","2024-02-19","3","3485.51","580.9183333333333333","1625.56","7","5","4"
148,"Teresa","Cociarelli","Viconago","Valle d'Aosta","2025-10-09","2024-05-03","6","8369.57","760.8700000000000000","2489.78","13","10","7"
149,"Evangelista","Parri","Cervatto","Marche","2025-05-18","2023-12-22","6","19236.74","1374.0528571428571429","3976.80","20","11","6"
150,"Arturo","Zanazzo","Lugagnano","Puglia","2025-06-26","2024-01-17","3","4705.01","941.0020000000000000","1303.57","5","5","4"
151,"Lidia","Federici","Ranco","Puglia","2024-11-26","2024-03-08","4","6958.95","869.8687500000000000","1284.93","8","7","5"
152,"Alberto","Franscini","Badiola","Lazio","2025-10-31","2024-02-10","7","16685.36","1042.8350000000000000","2651.20","19","12","7"
153,"Ubaldo","Tamburini","Castell'Azzara","Sardegna","2025-11-14","2023-12-25","9","10805.65","831.2038461538461538","3314.22","17","11","6"
154,"Bettina","Procacci","Ariano Ferrarese","Lazio","2025-07-12","2025-01-31","2","3270.60","1090.2000000000000000","1484.42","3","3","3"
155,"Livia","Niggli","Zumaglia","Veneto","2025-10-27","2024-01-29","4","8098.02","1012.2525000000000000","2327.36","10","6","4"
156,"Rosaria","Gianinazzi","Roccapiemonte","Puglia","2025-07-06","2024-08-30","3","5267.60","877.9333333333333333","1246.22","8","6","4"
157,"Alberico","Antonacci","Gamberale","Umbria","2025-03-03","2024-06-23","4","5386.41","769.4871428571428571","1284.93","7","7","6"
158,"Giosuè","Nolcini","Celle Di Bulgheria","Sardegna","2025-07-17","2024-04-27","4","6558.60","936.9428571428571429","2057.66","10","7","3"
159,"Amanda","Silvestri","Laconi","Campania","2025-08-17","2025-01-24","3","7807.06","1115.2942857142857143","1484.42","7","5","3"
160,"Greca","Zito","Candelo","Veneto","2025-02-20","2024-06-05","3","6741.97","1123.6616666666666667","3324.10","9","6","4"
161,"Lara","Pezzali","Madonna Di Tirano","Abruzzo","2025-10-22","2024-04-27","4","4825.05","965.0100000000000000","1325.60","5","4","3"
162,"Mattia","Bernetti","Perteole","Veneto","2025-10-09","2024-02-08","3","3311.00","827.7500000000000000","1004.53","4","4","4"
163,"Nicola","Rienzo","Scerni","Lazio","2025-09-04","2024-05-22","4","9823.51","1091.5011111111111111","2996.58","12","9","6"
164,"Carlo","Agostini","Barbeano","Lazio","2024-11-23","2024-11-23","1","773.09","773.0900000000000000","773.09","1","1","1"
165,"Carmelo","Mocenigo","Paderno Franciacorta","Toscana","2025-09-27","2023-12-05","5","4475.47","745.9116666666666667","1163.68","6","6","5"
166,"Silvio","Combi","Su Pradu","Campania","2024-10-05","2024-01-27","2","3449.22","689.8440000000000000","1997.72","6","5","4"
167,"Durante","Marinetti","Terenten","Basilicata","2025-10-26","2023-12-22","5","8606.15","782.3772727272727273","1844.28","12","9","6"
168,"Griselda","Filzi","Caprino Bergamasco","Sardegna","2025-10-21","2024-03-04","6","11462.88","818.7771428571428571","2630.60","16","12","8"
169,"Galasso","Verga","San Baronto","Veneto","2025-11-11","2025-01-08","6","15859.78","1132.8414285714285714","2057.66","17","11","6"
170,"Eraldo","Ramazzotti","Monteguiduccio","Sicilia","2025-10-01","2025-10-01","1","1056.14","1056.1400000000000000","1056.14","2","1","1"
171,"Calcedonio","Cantimori","Scandicci","Emilia-Romagna","2025-05-27","2025-02-05","2","3129.40","782.3500000000000000","1844.28","8","4","3"
172,"Ludovica","Travaglio","San Giacomo Vercellese","Lombardia","2024-11-17","2024-03-06","2","1461.07","487.0233333333333333","859.64","3","3","2"
173,"Calcedonio","Carriera","Chiusaforte","Marche","2024-08-04","2024-08-04","1","922.14","922.1400000000000000","922.14","1","1","1"
174,"Leonardo","Bazzi","Cinquemiglia","Sardegna","2025-09-10","2024-06-22","6","14381.11","898.8193750000000000","2345.74","23","16","6"
175,"Romolo","Giannelli","Biancavilla","Sicilia","2024-11-08","2024-05-22","3","8334.53","1666.9060000000000000","3910.71","9","5","4"
176,"Marcella","Boaga","Rapone","Campania","2025-08-02","2024-11-08","5","9085.99","1135.7487500000000000","1988.53","9","8","5"
177,"Bianca","Carnera","Selva Di Altino","Lazio","2025-04-03","2024-07-16","2","3347.97","836.9925000000000000","1284.93","4","4","4"
178,"Daniele","Fagotto","Morimondo","Sicilia","2025-05-25","2025-01-26","3","5692.29","1423.0725000000000000","3087.21","9","4","4"
179,"Fabia","Dossi","Vallese","Umbria","2025-04-02","2023-11-28","5","6802.83","618.4390909090909091","1325.60","14","10","7"
180,"Oreste","Zampa","Santa Maria Al Bagno","Sicilia","2025-06-05","2024-02-09","8","20137.71","1342.5140000000000000","3910.71","22","13","7"
181,"Gianluca","Vanvitelli","Campiglione Fenile","Toscana","2025-06-01","2024-09-04","4","7514.73","683.1572727272727273","2968.84","12","9","6"
182,"Ansaldo","Rossi","Laigueglia","Puglia","2025-10-12","2024-01-31","3","4195.54","699.2566666666666667","1284.93","7","6","5"
183,"Gilberto","Foscari","Bedizzano","Puglia","2025-06-11","2023-11-19","4","11211.47","934.2891666666666667","1719.28","18","8","5"
184,"Hugo","Vasari","Narbolia","Friuli-Venezia Giulia","2025-08-15","2024-03-30","6","14075.10","879.6937500000000000","2316.50","18","12","6"
185,"Donatello","Greco","Corato","Basilicata","2025-08-05","2024-01-18","5","14140.30","1414.0300000000000000","4230.60","15","9","4"
186,"Luigina","Lettiere","Su Tilio'","Lombardia","2025-10-27","2023-12-18","9","28233.24","1176.3850000000000000","3910.71","32","16","6"
187,"Raffaella","Franscini","Montorfano","Puglia","2025-05-03","2024-04-21","8","11802.57","786.8380000000000000","2651.20","20","14","7"
188,"Romina","Savorgnan","Pieve Di Ledro","Puglia","2025-03-05","2024-02-08","5","13773.59","983.8278571428571429","2968.84","21","10","7"
189,"Teresa","Leonardi","Casarea","Valle d'Aosta","2025-08-09","2025-08-09","1","2814.91","562.9820000000000000","1158.25","5","5","4"
190,"Beppe","Chiappetta","Tavernola San Felice","Marche","2025-07-10","2024-01-08","4","7400.31","925.0387500000000000","2441.37","9","8","4"
191,"Olga","Camicione","Torgiano","Friuli-Venezia Giulia","2025-03-22","2023-11-18","4","8824.77","1103.0962500000000000","2607.14","9","8","6"
192,"Giampaolo","Corbo","Giussago","Molise","2023-12-27","2023-12-27","1","3405.42","1135.1400000000000000","1484.42","3","3","2"
193,"Calcedonio","Grassi","Campopino","Lazio","2025-10-15","2023-12-13","6","13970.39","997.8850000000000000","2628.10","16","10","6"
194,"Costanzo","Giusti","Castelmuzio","Lombardia","2025-10-31","2025-10-01","2","1239.73","619.8650000000000000","853.01","2","2","1"
195,"Baldassare","Angeli","Prata","Basilicata","2025-02-28","2024-06-05","4","8461.55","1208.7928571428571429","3342.68","12","6","4"
196,"Bernardo","Tornatore","Zelbio","Toscana","2025-06-16","2024-12-12","2","1301.50","650.7500000000000000","773.43","3","2","2"
197,"Daniele","Sanguineti","Samassi","Piemonte","2025-10-06","2024-06-10","6","9827.28","755.9446153846153846","2200.68","15","13","7"
198,"Luigina","Ioppi","Macchia Valfortore","Marche","2024-10-05","2024-10-05","1","1172.98","390.9933333333333333","628.35","5","3","3"
